,date,WV,IA,MT,IN,GA,UT,LA,MD,OR,RI,DC,VA,MS,NM,KY,OK,NV,TX,NH,TN,VT,OH,CA,CO,ID,DE,HI,MI,SC,CT,ND,AR,AL,WY,NJ,IL,AZ,WA,KS,FL,NC,MO,ME,AK,NY,MN,MA,WI,SD,PA,NE
75,2003-04-01,68634.90896196489,112456.56953768052,194415.52708372893,116242.63634839586,124696.70424390609,204271.61183444058,121996.65265488958,240246.2700200595,183383.73826456972,251118.39633679012,402288.7862874312,209972.91522673462,76850.16790406196,177181.15309792294,89319.38168312244,69270.36546438976,257747.51791338067,146727.9030236175,213236.24078115227,97809.99402614153,144581.50602032497,119644.13290086352,360553.2881529048,255628.79074297688,139520.89729692435,227074.92548676778,379969.9492399615,152540.61254422815,132546.4076575875,266900.23482177826,207087.19121786658,71127.41143120927,107159.80221397371,155790.82533817546,319222.97665612795,180726.6498288751,175626.0610991304,213341.20442822744,146643.1661555336,180029.41918587717,138014.56700059515,137692.10541199302,174336.94128304464,180558.90886387642,209472.230871927,176762.58226350095,368964.9388214549,168073.317728073,106824.33120228813,142077.12031533034,120333.65577432766
76,2003-05-01,68795.69786183434,112851.96221679873,195474.47649003594,116340.20696937667,125047.58219653186,204476.33620612085,122313.6482076134,242595.3819483052,184123.32450591208,254579.02006786477,406596.9588328935,211316.96754650987,77450.22804250004,177616.98621752503,89519.0117725568,69477.97976279144,259634.72319973633,146897.05545887552,215236.4754911768,98029.31886425008,145406.65315376155,119960.8533634967,363068.7187502311,256098.05401914165,139943.611343011,228985.12322945273,383860.0989992615,152888.64291350768,132824.39019881008,269110.11299105664,204424.50130847152,71313.41693091062,107384.65880954466,156317.2492364404,322539.807061858,181269.11565380322,176349.89522389817,213756.08202460586,146845.7709483669,181576.9771476799,138411.28979552648,138189.4079660358,175493.22759519485,181116.9059268806,211297.23021236344,177855.96425871755,372122.9471489577,168596.47469653544,108611.4957702215,143044.66521885016,120493.73245309098
77,2003-06-01,69124.89728038954,113261.3831734149,196568.72428497084,116408.22168653547,125448.9195769161,204687.88474054608,122641.21027947699,245565.52927268483,184896.1642984917,258154.99952421468,411048.73708497756,214178.6760712768,78070.29018555273,178067.34710778057,89812.48142219712,69673.02686164982,264558.72958444635,147127.99282186304,217304.18392901716,98305.88998457133,146797.70957615715,120288.13117413165,367181.3663090989,256582.9594889459,141070.10875468655,232103.2888716306,389942.76119451434,153247.97246188667,133164.59347602335,271393.6616989461,201673.05506876332,71653.12591581233,107657.8929375853,156861.22059798086,325967.19860117673,181829.6636638634,177154.05668144414,214777.52140959242,146996.2826279599,183240.58476180845,138933.86492767386,138624.89947596687,177290.4750167332,182276.24921184147,213988.84158371194,178985.79345731574,375317.3693598817,169137.07022241998,110458.22846553304,144065.48085003547,120659.14501932255
78,2003-07-01,69443.47736286234,113657.5970023983,197627.6737639401,116474.04238056012,125837.31059019118,204892.60912869958,122958.20583289335,248439.86539305223,185644.0737751816,261615.6248045534,415356.9095869945,216948.07141782547,78670.3503239908,178503.1802273827,90096.48430894584,69861.78211860955,269323.8970535207,147351.48059249608,219305.19209466915,98573.53945584997,148143.89321073354,120604.85163603643,371161.3478176808,257052.22284682095,142160.26754017905,235120.86852535114,395829.20848024305,153595.7107345115,133493.82245397166,273603.5475452907,199010.36515936826,71981.87654636237,107922.3130614956,157387.64449624583,329284.0291230981,182372.1294800507,177932.27744681123,215766.01113699877,147141.93909208218,184850.52761419097,139439.5827974939,139046.34287267437,179029.7467149961,183398.19432631973,216593.62678179116,180079.17655273338,378408.7456930341,169660.22718295341,112245.38913841522,145053.36694473095,120819.22169632083
79,2003-08-01,69772.67678141755,114067.01795901447,198721.921558875,116542.0570977189,126238.64797057542,205104.15766312488,123285.76790475693,251410.01271743185,186416.91356776122,265191.6042609034,419808.68783907866,219809.7799425924,79290.41246704348,178951.52027529886,90389.95395858618,70056.82921746794,274247.9034382308,147582.4179554836,221372.90053250958,98850.11057617122,149534.94963312917,120932.12944667136,375273.9953765487,257537.12831662517,143286.76495185462,238239.03416752903,401911.87067549594,153955.0402828905,133834.02573118496,275887.0962531802,196258.91891966003,72321.58553126408,108195.54718953626,157959.84185954527,332711.4206624169,182932.67749011092,178736.4389043572,216787.45052198533,147292.45077167518,186514.13522831956,139962.1579296413,139481.83438260545,180826.99413653446,184557.53761128066,219285.23815313968,181209.00575133157,381603.1679039582,170200.82270883792,114092.1218337268,146074.18257591626,120984.63426255238
80,2003-09-01,70101.87619997277,114476.43891563066,199816.16935380988,116610.0718148777,126639.98535095967,205315.7061975501,123613.3299766205,254380.16004181153,187189.75336034084,268767.58371725335,424260.4660911629,222671.48846735936,79910.4746100962,179399.86032321505,90683.42360822653,70251.87631632632,279171.909822941,147813.35531847112,223440.60897034995,99126.68169649248,150926.00605552478,121259.40725730632,379386.6429354166,258022.0337864294,144413.26236353026,241357.19980970692,407994.5328707489,154314.3698312695,134174.22900839822,278170.6449610697,193507.47267995178,72661.2945161658,108468.7813175769,158532.03922284476,336138.81220173574,183493.22550017113,179540.60036190314,217808.8899069719,147442.9624512682,188177.74284244818,140484.7330617887,139917.32589253652,182624.2415580728,185716.88089624152,221976.8495244882,182338.83494992976,384797.5901148822,170741.41823472246,115938.85452903838,147094.99820710157,121150.04682878395
81,2003-10-01,70420.45628244555,114872.65274461404,200875.11883277918,116675.89250890235,127028.37636423473,205520.4305857036,123930.32553003688,257254.49616217887,187937.66283703074,272228.208997592,428568.6385931798,225440.88381390797,80935.7964828243,179833.73778894037,90967.42649497524,70440.63157328604,283937.0772920152,148036.8430891042,225441.61713600197,99394.3311677711,152272.18969010116,121576.12771921109,383366.62444399844,258491.29714430447,145503.42114902276,244374.7794634274,413880.9801564774,154662.10810389434,134503.45798634653,280380.5308074143,190844.78277055672,72990.04514671583,108733.2014414872,159085.77860668296,339455.64272365713,184035.69131635842,180318.82112727023,218797.37963437822,147588.61891539049,189787.6856948306,140990.45093160874,140338.769289244,184363.5132563357,186838.82601071976,224581.6347225674,183432.21804534734,387888.96644803445,171264.57519525586,117726.0152019205,148082.88430179705,121310.12350578222
82,2003-11-01,70749.65570100077,115282.07370123023,201969.36662771404,116743.90722606114,127429.71374461899,205731.97912012885,124257.88760190045,260224.6434865585,188710.50262961036,275804.18845394196,433020.4168452639,228302.5923386749,81995.29575131004,180282.07783685654,91260.89614461557,70635.67867214444,288861.08367672545,148267.78045209168,227509.3255738423,99670.90228809236,153663.24611249677,121903.40552984603,387479.2720028664,258976.20261410868,146629.91856069834,247492.94510560532,419963.6423517304,155021.4376522733,134843.66126355983,282664.07951530383,188093.33653084852,73329.75413161755,109006.43556952784,159657.9759699824,342883.0342629759,184596.2393264186,181122.98258481623,219818.8190193648,147739.13059498346,191451.29330895923,141513.02606375612,140774.26079917507,186160.76067787403,187998.16929568065,227273.24609391595,184562.04724394553,391083.38865895855,171805.1707211404,119572.74789723208,149103.69993298236,121475.53607201378
83,2003-12-01,71068.23578347356,115678.28753021361,203028.31610668328,116809.72792008579,127818.10475789408,205936.70350828234,124574.88315531681,263098.9796069259,189458.41210630033,279264.8137342807,437328.5893472809,231071.98768522358,83020.61762403816,180715.9553025819,91544.89903136429,70824.43392910415,293626.2511457997,148491.26822272476,229510.33373949432,99938.55175937098,155009.42974707315,122220.1259917508,391459.25351144816,259445.46597198374,147720.07734619087,250510.52475932587,425850.089637459,155369.17592489815,135172.89024150814,284873.9653616485,185430.6466214535,73658.5047621676,109270.85569343815,160211.71535382062,346199.8647848973,185138.70514260593,181901.2033501833,220807.30874677113,147884.78705910573,193061.23616134172,142018.74393357616,141195.70419588254,187900.03237613695,189120.11441015895,229878.03129199517,185655.43033936317,394174.76499211096,172328.32768167384,121359.90857011423,150091.58602767784,121635.61274901207
84,2004-01-01,71397.43520202878,116087.7084868298,204122.5638783768,116877.74263724459,128219.44213827832,206148.25204270764,124902.44522718039,266069.12693130557,190231.2518988799,282840.79319063056,441780.36759936507,233933.69620999054,84080.1168925239,181164.29535049803,91838.36868100463,71019.48102796254,298550.25753050996,148722.20558571228,231578.04217733475,100215.12287969224,156400.4861694688,122547.40380238574,395571.9010703161,259930.37144178798,148846.57475786644,253628.69040150376,431932.7518327119,155728.50547327715,135513.0935187214,287157.514069538,182679.20038174524,73998.21374706931,109544.08982147879,160783.91271712008,349627.2563242161,185699.25315266612,182705.36480772926,221828.7481317577,148035.29873869877,194724.84377547033,142541.31906572354,141631.19570581365,189697.2797976753,190279.4576951198,232569.64266334372,186785.25953796136,397369.18720303505,172868.92320755837,123206.6412654258,151112.40165886315,121801.02531524362
