,60614,10023,10025,60657,77494
25,611825.0893537936,610042.952049484,823705.9168892596,391667.73626069265,209048.8509711595
26,615050.9183429778,620071.3314593264,834686.7748354458,392845.1760049476,209415.4234718233
27,618352.5598025435,622937.1831503529,846255.2186533624,394076.89093967486,209679.87757799577
28,625884.2558201188,625407.2084783069,857007.1336654007,399023.71232311503,209888.3841828024
29,633857.5335010496,626636.3169918199,866160.491348646,404258.24242618366,210036.71200940988
30,641196.739414731,627643.364604192,876547.8039034526,408941.88520150166,210318.86801348365
31,648706.9551616478,628397.8467140057,887171.2856838832,413735.3200683443,210629.11047906592
32,656231.1118273076,630092.9726734287,897930.6515844725,418328.2076158587,211092.54140716585
33,667956.6885206987,641504.4543238593,916562.1717948058,425561.78051137127,211572.490303802
34,675218.1953175084,647794.172674101,929002.0264275024,430507.7569051811,212070.2860604198
35,682378.1226199752,640530.9256209355,931017.6895661398,439819.1377803888,211411.3341938765
36,691731.8471313865,652647.9372358205,941807.9447059026,443810.4613700847,212102.51589405976
37,699501.8551294731,658410.7110981566,953001.5097120381,447300.79920321476,213066.04846906668
38,706022.1809377407,667485.0749389624,965566.2997831465,452066.6223435254,213962.21532408704
39,713137.4512001369,671832.7429534503,979070.3579770359,457487.52433527296,214553.406877291
40,721236.0260414412,675077.3801118969,990306.3252416273,463005.83981523657,214888.3280913522
41,729666.6967618129,676153.3000376439,996862.9342432426,468976.75110810547,215091.91965282772
42,736530.8178202664,675602.6726715429,1006298.9433400849,473242.29771259375,215598.67497866842
43,743482.5834029047,673214.2661466973,1015218.0497186094,477576.47743921005,216124.77997213538
44,750073.4079529992,673942.115781541,1026223.4030537152,481122.65081748384,217014.01740313674
45,764801.1208667574,693795.9971266633,1050345.8541164442,489489.3683347682,218041.80006522645
46,770229.4234148847,702993.0040719396,1065355.8520793256,492951.7780332804,219076.95037239822
47,779191.5081114282,707397.0122764884,1071309.4210105697,498060.30520634353,219584.51175738228
48,786604.9214391569,703552.5729042907,1079401.4851608686,505989.6686995304,219924.14684055184
49,793918.3204810219,705766.7219224954,1088776.9456173533,513099.18448550213,220123.66215729393
50,802477.3401114725,717699.7724862447,1096664.3593471048,518698.35995518434,220369.6196947044
