,RegionName,State,year_pct_roi,5_year_pct_roi,total_pct_roi,acc_2019
3543,96790,HI,0.03331917682294641,0.17151492065407742,1.6565909395427865,-0.03733213819268665
3764,25508,WV,0.03492936023806934,0.1727537530808873,1.1065765113096675,-0.012935006373474006
3777,72837,AR,0.06622661495767275,0.31544044584611397,1.1159118152916037,-0.009895744900682613
3781,29148,SC,0.040215315394914804,0.1895324255424983,1.064644066424746,-0.005334931293382861
3825,19930,DE,0.015974218326432577,0.06083755410040339,1.9838633634301472,-0.02339350820292401
3860,72734,AR,0.08527053539323362,0.38050682886902376,1.1807349567113286,-0.032846687517644316
4067,71418,LA,0.05965304078555066,0.18727992673898183,1.3228191475939337,-0.006072426805295668
4116,72823,AR,0.06530827896719654,0.26595236470347366,1.082164103715344,-0.02118005672447391
4151,72736,AR,0.09741902834008097,0.4385651782470661,1.4666404864110931,-0.04759653076898032
4177,19960,DE,0.036819446756891756,0.21019550358413983,1.449042653602409,-0.00690660722136436
4196,72432,AR,0.05995325678284727,0.27362637362637365,1.1787664488407483,-0.03766500302909157
4215,72632,AR,0.0462806352377601,0.2160673408669609,1.1957000774224287,-0.024672764742047864
4232,25601,WV,0.03892602370387013,0.17340551514126207,1.2453868565878925,-0.030463619630351338
4244,19940,DE,0.003464653318127355,0.21377724746078403,1.6925897710692475,-0.013081713663894313
4254,26537,WV,0.036481930249710255,0.12972284959614133,1.9285519362921433,-0.031316756017200284
4340,26170,WV,0.05610285523459676,0.22014444002363126,1.2759985606333213,-0.03108999446186189
4395,72454,AR,0.099703802016736,0.3664025420320167,1.1117361844967986,-0.05214788435282552
4415,72042,AR,0.049434664376699584,0.20280179130919768,1.378641406604814,-0.03240377864058593
4445,29935,SC,0.039540816326530615,0.3495892414228161,1.0700290275761974,-0.020797159606188782
4497,72650,AR,0.06768578470812102,0.4611055768188888,1.254969656102495,-0.03030170023466798
4506,29692,SC,0.052087979155418886,0.30321004884856945,1.2608958837772397,-0.0046324398237744206
4507,72417,AR,0.028523349399608624,0.14111326062531152,1.5086266134274307,-0.004353653264818438
4546,72933,AR,0.07242040109445293,0.24345005406304582,1.020543316664414,-0.02277369693536781
4565,72521,AR,0.07014772598031163,0.2739608562875152,1.1501586898565443,-0.03652869123309865
4582,71837,AR,0.045810800640770644,0.28328122320286014,1.5452404626092417,-0.020354758954892714
4591,72941,AR,0.038108541019820995,0.21919884453875163,1.0031493986845768,-0.011784462064418813
4648,70032,LA,0.09255643151712982,0.6605831736785568,2.743297219032403,-0.02818595794696444
4750,26764,WV,0.03930769586746263,0.09668724119071802,1.0311476892466311,-0.032316075790878133
4823,29438,SC,0.028188813081180236,0.13422994317596432,1.4943385484142706,-0.013576517888460905
4928,24963,WV,0.06367904025036947,0.14363827549947425,1.9192090900957324,-0.021528319001533163
4990,96722,HI,0.06875623009613453,0.26910608824288135,2.034558520495752,-0.0038816218693153936
5008,71964,AR,0.036859839161851614,0.2304850714213194,1.0190299224706862,-0.038801490903157605
5051,29643,SC,0.05850912788194667,0.23756104352296092,1.1440021521934747,-0.04674002332503428
