,name,pop,lat,lon,2019
199,Peoria ,115279.0,40.6938609,-89.5891008,256613.8576296832
750,Greenwood ,51889.0,37.8709542,-96.2471338,256613.7554648839
751,Greenwood ,23339.0,37.8709542,-96.2471338,256613.7554648839
752,Greenwood ,15906.0,37.8709542,-96.2471338,256613.7554648839
753,Greenwood ,9214.0,37.8709542,-96.2471338,256613.7554648839
2116,Morehead City ,8846.0,34.7229391,-76.7260436,256612.25487015425
2223,Lake Geneva ,7681.0,42.5916836,-88.4334301,256561.9714138381
88,Stockton ,295386.0,37.9577016,-121.29077959999998,256508.18769291445
2026,Gulf Shores ,10312.0,30.246036100000005,-87.70081929999999,256493.82033026693
392,Pearland ,93252.0,29.5639758,-95.28642990000002,256309.40451788376
477,Hemet ,80400.0,33.778562,-117.03576650000001,256015.8746306541
609,Fort Myers ,63838.0,26.640628000000003,-81.87230840000001,255992.77122744394
1398,Avon Lake ,22781.0,41.50531779999999,-82.02820009999999,255814.2689169401
1498,Ferndale ,20008.0,40.5762406,-124.2639442,255794.77346837558
1499,Ferndale ,11724.0,40.5762406,-124.2639442,255794.77346837558
1496,Rocky River ,20078.0,41.4756031,-81.8393034,255472.4048975482
2224,Stayton ,7675.0,44.8006775,-122.79453329999998,254556.5292354296
1474,Lino Lakes ,20530.0,45.1602442,-93.0888324,254182.8131213199
92,Newark ,43065.0,40.735657,-74.1723667,253827.66087316148
91,Newark ,47793.0,40.735657,-74.1723667,253827.66087316148
93,Newark ,31934.0,40.735657,-74.1723667,253827.66087316148
90,Newark ,277854.0,40.735657,-74.1723667,253827.66087316148
121,Chesapeake ,225333.0,36.8190369,-76.2749399,253383.56005710497
1342,South Salt Lake ,24010.0,40.7075209,-111.88802949999999,252864.6977642043
1606,Palos Hills ,17552.0,41.696699200000005,-87.8169984,252848.98915210465
402,Sparks ,91010.0,39.5348431,-119.7527683,252663.2530084572
1222,Queen Creek ,27210.0,33.222657,-111.6206973,252614.25965123274
851,Farmington ,45511.0,36.73042879999999,-108.20891909999999,252459.9607455944
852,Farmington ,21472.0,36.73042879999999,-108.20891909999999,252459.9607455944
853,Farmington ,19311.0,36.73042879999999,-108.20891909999999,252459.9607455944
854,Farmington ,16796.0,36.73042879999999,-108.20891909999999,252459.9607455944
855,Farmington ,10426.0,36.73042879999999,-108.20891909999999,252459.9607455944
5,Philadelphia ,7482.0,39.952335,-75.16378900000001,251878.2163851041
4,Philadelphia ,1539313.0,39.952335,-75.16378900000001,251878.2163851041
1075,Deer Park ,32596.0,29.70478335,-95.11839443,251782.7848129081
883,North Miami Beach ,42827.0,25.928842000000003,-80.15278619,251714.1072336362
1607,Westbrook ,17551.0,43.6770252,-70.3711617,251673.8785853968
1335,Rolling Meadows ,24178.0,42.0841936,-88.0131275,251597.70851864468
1966,Jerome ,11004.0,42.702265999999995,-114.28670430000001,251584.9055331039
1757,Katy ,14410.0,29.7857853,-95.82439559999999,251534.428787522
2125,Grimes ,8747.0,41.6883214,-93.7910575,251415.86328420296
1294,Freeport ,12063.0,42.2966861,-89.6212271,251056.910814378
